time,Unnamed: 0,agreepeople,rating
2019-04-24,202.35714285714286,853.7464285714286,37.99270072992701
2019-04-25,224.5,46.1,43.333333333333336
2019-04-26,319.5,12.125,40.76923076923077
2019-04-27,469.5,6.05,40.526315789473685
2019-04-28,349.5,8.283333333333333,40.16949152542373
2019-04-29,0.0,0.0,0.0
2019-04-30,0.0,0.0,0.0
2019-05-01,0.0,0.0,0.0
2019-05-02,0.0,0.0,0.0
2019-05-03,0.0,0.0,0.0
2019-05-04,0.0,0.0,0.0
2019-05-05,0.0,0.0,0.0
2019-05-06,0.0,0.0,0.0
2019-05-07,0.0,0.0,0.0
2019-05-08,0.0,0.0,0.0
2019-05-09,0.0,0.0,0.0
2019-05-10,0.0,0.0,0.0
2019-05-11,0.0,0.0,0.0
2019-05-12,0.0,0.0,0.0
2019-05-13,349.5,9.9,36.31578947368421
